bibtex_key,title,selection_criteria,status,comments
7004215,BurstMem: A high-performance burst buffer system for scientific applications,ARCHITECTURE,Accepted,"[(BurstMem)]-[(HPC)[rhee(Titan ORNL)]]-[DRAM]
[data management]-[N]-[IOR&S3D]"
5937222,Semi-RAID: A reliable energy-aware RAID data layout for sequential data access,ARCHITECTURE,Accepted,"[(Semi-RAID)]-[(Storage System)[rsee(5d)]]-[HDD]
[data layout]-[Y]-[IOmeter]"
5578334,Virtual I/O Based on ScratchPad Memory for Embedded System,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[(SPMIO)]-[Scratchpad memory[O.S.(Linux)][rd(nfSPM)]]-[SPM]
[memory management]-[Y]-[specific]"
7820311,PiBooster: Performance Accelerations in Page Table Management for Paravirtual VMs,S2S-IO -Soft-2-improve-IO-on-Software,Accepted,"[(PiBooster)]-[Virtual Machine(Xen)[Xen]]-[Memory&cache]
[paravirtualization]-[N]-[SPECINT&netperf&lmbench]"
ZHANG2018307,A light-weight log-based hybrid storage system,ARCHITECTURE,Accepted,"[(HFS)]-[(Cloud)[ssee(Ramdisk)]]-[PCM&SSD&HDD]
[hardware concerning]-[N]-[IOzone&Postmark&Filebench]"
DENG2014338,Modeling the aging process of flash storage by leveraging semantic I/O,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[model]-[Storage Systems-RAIS[nf(not found)][nf(not found)]]-[SSD]
[semantic IO]-[N]-[Cello(Cello99&Cello96)&TPC(TPC-D)]"
Lee201570,Refactored design of I/O architecture for flash storage,ARCHITECTURE,Accepted,"[(REDO)]-[(Storage System)[ssee(FlashBench)]]-[Flash&HDD&DRAM]
[lifetime]-[N]-[POSTMARK&BONNIE++&TIOBENCH&SYSBENCH&IOZONE]"
arunagiri_fairio:_2014,{FAIRIO}: {A} {Throughput}-oriented {Algorithm} for {Differentiated} {I}/{O} {Performance},S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[(FAIRIO)]-[Cloud-RAID0[Storage Systems(Storage System)][ssee(DiskSim-mv)]]-[HDD]
[scheduling]-[N]-[Filebench(varmail)&BTIO&MADbench2&IOR]"
franch_c2p:_2014,C2P: {Co}-operative {Caching} in {Distributed} {Storage} {Systems},S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[(C2P)]-[Storage Systems[File System(FUSE)][ssee(vm)]]-[Cache]
[caching]-[N]-[Swift-bench(PUT&GET&DELETE)]"
yang_ead:_2018,{EAD}: elasticity aware deduplication manager for datacenters with multi-tier storage systems,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[(EAD)]-[Storage Systems[Storage Systems(storage system)][rsee(1m)]]-[HDD&SSD&RAM]
[deduplication]-[N]-[specific]"
7877149,G-Store: High-Performance Graph Store for Trillion-Edge Processing,The papaer do not proposed a storage device solution to improve IO performance,Rejected,[storage?]
8048970,Extending Skel to Support the Development and Optimization of Next Generation I/O Systems,The papaer do not proposed a storage device solution to improve IO performance,Rejected,[evaluation?]
5279558,Two-Layered Access Control for Storage Area Network,The papaer do not proposed a storage device solution to improve IO performance,Rejected,[I/O?]
6466147,A novel indexing scheme for efficient handling of small files in Hadoop Distributed File System,The papaer do not proposed a storage device solution to improve IO performance,Rejected,[device?]
8425219,What Size Should Your Buffers to Disks be?,The papaer do not proposed a storage device solution to improve IO performance,Rejected,[I/O?]
MURUGAN2019340,Software defined deduplicated replica management in scale-out storage systems,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
exarchakos_peer--peer_2012,A peer-to-peer system for on-demand sharing of capacity across network applications,The papaer do not proposed a storage device solution to improve IO performance,Rejected,[I/O?]
6877475,CooMR: Cross-task coordination for efficient data management in MapReduce programs,The papaer do not proposed a storage device solution to improve IO performance,Rejected,[device?]
SPIVAK2018618,Storage tier-aware replicative data reorganization with prioritization for efficient workload processing,The paper focuses in another field instead I/O performance.,Rejected,[Reliability]
chin_developing_2018,Developing {Cost}-{Effective} {Data} {Rescue} {Schemes} to {Tackle} {Disk} {Failures} in {Data} {Centers},The paper focuses in another field instead I/O performance.,Rejected,[Reliability]
5403822,Improving reliability of energy-efficient parallel storage systems by disk swapping,The paper focuses in another field instead I/O performance.,Rejected,[Reliability]
5581480,A Flexible and Cost-Effective File-Wise Reliability Scheme for Storage Systems,The paper focuses in another field instead I/O performance.,Rejected,[Reliability]
8115198,A Hierarchical RAID Architecture Towards Fast Recovery and High Reliability,The paper focuses in another field instead I/O performance.,Rejected,[Reliability]
YANG2013468,A reliability optimization method for RAID-structured storage systems based on active data migration,The paper focuses in another field instead I/O performance.,Rejected,[Reliability]
Wang2018617,H 2 -RAID: A novel hybrid RAID architecture towards high reliability,The paper focuses in another field instead I/O performance.,Rejected,[Reliability]
Zhu2017710,Rabbet: Using layout-aware backup for RAID reconstruction,The paper focuses in another field instead I/O performance.,Rejected,[Reliability]
wang_analysis_2015,Analysis of {Repair} {Cost} in {Distributed} {Storage} {Systems} with {Fault}-{Tolerant} {Coding} {Strategies},The paper focuses in another field instead I/O performance.,Rejected,[Reliability]
7549400,Efficient Parity Update for Scaling RAID-like Storage Systems,The paper focuses in another field instead I/O performance.,Rejected,[Reliability]
6558423,Zettabyte reliability with flexible end-to-end data integrity,The paper focuses in another field instead I/O performance.,Rejected,[Reliability]
8069092,PITR: An Efficient Single-Failure Recovery Scheme for PIT-Coded Cloud Storage Systems,The paper focuses in another field instead I/O performance.,Rejected,[Reliability]
Jung:2010:FES:1714454.1714457,FRASH: Exploiting Storage Class Memory in Hybrid File System for Hierarchical Storage,The paper focuses in another field instead I/O performance.,Rejected,[File System]
Fisher:2012:HFH:2145622.2145624,A Hybrid Filesystem for Hard Disk Drives in Tandem with Flash Memory,The paper focuses in another field instead I/O performance.,Rejected,[File System]
7304365,Designing an efficient persistent in-memory file system,The paper focuses in another field instead I/O performance.,Rejected,[File System]
6827914,Design and Implementation of a Journaling File System for Phase-Change Memory,The paper focuses in another field instead I/O performance.,Rejected,[File System]
7823797,NVMCFS: Complex File System for Hybrid NVM,The paper focuses in another field instead I/O performance.,Rejected,[File System]
7304330,MemEFS: An Elastic In-memory Runtime File System for eScience Applications,The paper focuses in another field instead I/O performance.,Rejected,[File System]
5487498,High-Performance Scalable Flash File System Using Virtual Metadata Storage with Phase-Change RAM,The paper focuses in another field instead I/O performance.,Rejected,[File System]
UTA2016144,Overcoming data locality: An in-memory runtime file system with symmetrical data distribution,The paper focuses in another field instead I/O performance.,Rejected,[File System]
PARK201486,O1FS: Flash file system with O(1) crash recovery time,The paper focuses in another field instead I/O performance.,Rejected,[File System]
6232370,vPFS: Bandwidth virtualization of parallel storage systems,The paper focuses in another field instead I/O performance.,Rejected,[File System]
7028124,Utilizing flash-memory SSD for developing hybrid filesystem,The paper focuses in another field instead I/O performance.,Rejected,[File System]
Niu201834863,XPMFS: A new NVM file system for vehicle big data,The paper focuses in another field instead I/O performance.,Rejected,[File System]
5397939,An integrated high-performance distributed file system based on NFS,The paper focuses in another field instead I/O performance.,Rejected,[File System]
7063413,MLFS: A multiple layers share file system for cloud computing,The paper focuses in another field instead I/O performance.,Rejected,[File System]
7152562,Scalable In-Memory Computing,The paper focuses in another field instead I/O performance.,Rejected,[File System]
6341374,Implementing and Optimizing an Encryption Filesystem on Android,The paper focuses in another field instead I/O performance.,Rejected,[File System]
5207356,FlexFS: Transparent resilience for GRID storage resources,The paper focuses in another field instead I/O performance.,Rejected,[File System]
WANG2011316,Performance Evaluation of A Infiniband-based Lustre Parallel File System,The paper focuses in another field instead I/O performance.,Rejected,[File System]
CATUOGNO201465,A trusted versioning file system for passive mobile storage devices,The paper focuses in another field instead I/O performance.,Rejected,[File System]
ZHENG2018355,HMVFS: A Versioning File System on DRAM/NVM Hybrid Memory,The paper focuses in another field instead I/O performance.,Rejected,[File System]
hutchison_live_2011,Live {Deduplication} {Storage} of {Virtual} {Machine} {Images} in an {Open}-{Source} {Cloud},The paper focuses in another field instead I/O performance.,Rejected,[File System]
kumar_kundu_performance_2014,Performance {Augmentation} of a {FAT} {Filesystem} by a {Hybrid} {Storage} {System},The paper focuses in another field instead I/O performance.,Rejected,[File System]
NO20121680,NAND flash memory-based hybrid file system for high I/O performance,The paper focuses in another field instead I/O performance.,Rejected,[File System]
7897079,HMVFS: A Hybrid Memory Versioning File System,The paper focuses in another field instead I/O performance.,Rejected,[File System]
SHARMA201569,BlinkFS: A distributed file system for intermittent power,The paper focuses in another field instead I/O performance.,Rejected,[File System]
Lee20142445,Improving performance and capacity of flash storage devices by exploiting heterogeneity of MLC flash memory,The paper focuses in another field instead I/O performance.,Rejected,[File System]
tatebe_gfarm_2010,Gfarm {Grid} {File} {System},The paper focuses in another field instead I/O performance.,Rejected,[File System]
zhang_employing_2013,Employing intelligence in object-based storage devices to provide attribute-based file access,The paper focuses in another field instead I/O performance.,Rejected,[File System]
kim_understanding_2019,Understanding the performance of storage class memory file systems in the {NUMA} architecture,The paper focuses in another field instead I/O performance.,Rejected,[File System]
kunkel_hetfs:_2017,{HetFS}: {A} {Heterogeneous} {File} {System} for {Everyone},The paper focuses in another field instead I/O performance.,Rejected,[File System]
6466325,On-Demand Snapshot: An Efficient Versioning File System for Phase-Change Memory,The paper focuses in another field instead I/O performance.,Rejected,[File System]
8412583,"Lightweight, Integrated Data Deduplication for Write Stress Reduction of Mobile Flash Storage",The paper focuses in another field instead I/O performance.,Rejected,[Mobile device instead Storage System]
6847452,QoS Management of Real-Time Applications in NVRAM-Based Multi-Core Smartphones,The paper focuses in another field instead I/O performance.,Rejected,[Mobile device instead Storage System]
7059028,Unified non-volatile memory and NAND flash memory architecture in smartphones,The paper focuses in another field instead I/O performance.,Rejected,[Mobile device instead Storage System]
8864577,Learning-Assisted Write Latency Optimization for Mobile Storage,The paper focuses in another field instead I/O performance.,Rejected,[Mobile device instead Storage System]
RODRIGODURO20153,CoSMiC: A hierarchical cloudlet-based storage architecture for mobile clouds,The paper focuses in another field instead I/O performance.,Rejected,[Mobile device instead Storage System]
park_research_2011,Research on the {I}/{O} {Performance} {Advancement} of a {Low} {Speed} {HDD} {Using} {DDR}-{SSD},The paper focuses in another field instead I/O performance.,Rejected,[Mobile device instead Storage System]
5681117,LBM: a low-power buffer management policy for heterogeneous storage in mobile consumer devices,The paper focuses in another field instead I/O performance.,Rejected,[Mobile device instead Storage System]
6888848,"On Balance among Energy, Performance and Recovery in Storage Systems",The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
7920828,Understanding and Optimizing Power Consumption in Memory Networks,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
7070730,Rotated Logging Storage Architectures for Data Centers: Models and Optimizations,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
5628158,"The Accelerator Store framework for high-performance, low-power accelerator-based systems",The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
Meng:2019:PEP:3348137.3348224,PAM: An Efficient Power-aware Multilevel Cache Policy to Reduce Energy Consumption of Storage Systems,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
Huang:2013:ERD:2491472.2491473,Exploiting Redundancies and Deferred Writes to Conserve Energy in Erasure-Coded Storage Clusters,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
Zhou:2016:TEE:2974073.2974302,TEES,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
Otoo:2010:DDR:1876037.1876066,Dynamic Data Reorganization for Energy Savings in Disk Storage Systems,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
20162502526707,TEES: A novel multiple criteria optimization scheme for temperature-constrained energy efficient storage,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
20101712894667,Performance evaluation of energy-efficient parallel I/O systems with write buffer disks,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
5600321,TRACER: A Trace Replay Tool to Evaluate Energy-Efficiency of Mass Storage Systems,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
7544397,Performance-aware task scheduling for energy harvesting nonvolatile processors considering power switching overhead,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
8103902,An Energy-Efficient Architecture for Binary Weight Convolutional Neural Networks,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
7284404,On the Greenness of In-Situ and Post-Processing Visualization Pipelines,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
7876257,Survey on energy-efficient hard drive disks,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
7725291,"Keynote Speaker: A Hybrid Modeling Approach for Energy-Efficient Execution of Parallel Applications, by Yong Meng TEO",The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
6322247,Techniques for an energy aware parallel file system,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
7017087,Analyzing I/O patterns for the design of energy-efficient image servers,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
7311199,A model-driven approach for time-energy performance of parallel applications,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
8326997,Reducing Data Transfer Energy by Exploiting Similarity within a Data Transaction,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
6163123,An analytical performance and power model based on the transition probability for hard disks,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
7093180,Low-Power Hybrid Memory Cubes With Link Power Management and Two-Level Prefetching,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
6629310,Active SSD design for energy-efficiency improvement of web-scale data analysis,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
8327856,Design and Analysis of Energy-Efficient and Reliable 3-D ReRAM Cross-Point Array System,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
8347152,PATH: Performance-Aware Task Scheduling for Energy-Harvesting Nonvolatile Processors,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
6176868,A 1.2V 30nm 3.2Gb/s/pin 4Gb DDR4 SDRAM with dual-error detection and PVT-tolerant data-fetch scheme,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
DORIER201617,On the energy footprint of I/O management in Exascale HPC systems,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
BECKMANN2011151,Energy-efficient sorting using solid state disks,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
NIJIM2013196,An adaptive energy-conserving strategy for parallel disk systems,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
kunkel_monitoring_2015,Monitoring energy consumption with {SIOX}: {Autonomous} monitoring triggered by abnormal energy consumption,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
song_modulo_2018,Modulo {Based} {Data} {Placement} {Algorithm} for {Energy} {Consumption} {Optimization} of {MapReduce} {System},The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
ZHANG2015168,Skewly replicating hot data to construct a power-efficient storage cluster,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
JUNG201512,Data loss recovery for power failure in flash memory storage systems,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
7157817,PAM: An efficient power-aware multi-level cache policy to reduce energy consumption of Software Defined Network,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
WANG2017117,An energy-efficient system on a programmable chip platform for cloud applications,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
Zhou201564,On the Cooling of Energy Efficient Storage,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
Li20131290,S-RAID 5: An energy-saving RAID for sequential access based applications,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
jin_hag:_2015,{HAG}: {An} {Energy}-{Proportional} {Data} {Storage} {Scheme} for {Disk} {Array} {Systems},The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
pirahandeh_energy-aware_2019,Energy-aware {RAID} scheduling methods in distributed storage applications,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
hu_aggregating_2019,Aggregating correlated cold data to minimize the performance degradation and power consumption of cold storage nodes,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
mao_beyond_2011,Beyond mirroring: multi-version disk arraywith improved performance and energy efficiency,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
llopis_model-based_2017,Model-based energy-aware data movement optimization in the storage {I}/{O} stack,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
yu_fault-tolerant_2019,A fault-tolerant and energy-efficient continuous data protection system,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
xiao_energy-aware_2013,An {Energy}-{Aware} {Heuristic} {Scheduling} for {Data}-{Intensive} {Workflows} in {Virtualized} {Datacenters},The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
yan_optimizing_2019,Optimizing the restoration performance of deduplication systems through an energy-saving data layout,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
castellanos_building_2011,Building {Enterprise} {Class} {Real}-{Time} {Energy} {Efficient} {Decision} {Support} {Systems},The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
wang_energy-aware_2015,An {Energy}-{Aware} {File} {Relocation} {Strategy} {Based} on {File}-{Access} {Frequency} and {Correlations},The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
varbanescu_achieving_2011,Achieving {Power}-{Efficiency} in {Clusters} without {Distributed} {File} {System} {Complexity},The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
lee_power_2009,Power {Modeling} of {Solid} {State} {Disk} for {Dynamic} {Power} {Management} {Policy} {Design} in {Embedded} {Systems},The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
guo_arm-based_2016,An {ARM}-{Based} {Hadoop} {Performance} {Evaluation} {Platform}: {Design} and {Implementation},The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
hutchison_low_2010,Low {Power} {Management} of {OLTP} {Applications} {Considering} {Disk} {Drive} {Power} {Saving} {Function},The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
6800495,Energy optimization in 3D MPSoCs with Wide-I/O DRAM using temperature variation aware bank-wise refresh,The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
jiang_thermal_2013,Thermal {Modeling} of {Hybrid} {Storage} {Clusters},The paper focuses in another field instead I/O performance.,Rejected,[Energy Consumption]
AKBARITORKESTANI2013509,A highly reliable and parallelizable data distribution scheme for data grids,The papaer do not proposed a storage device solution to improve IO performance,Rejected,[device?]
WU2017190,DAC: Improving storage availability with Deduplication-Assisted Cloud-of-Clouds,The papaer do not proposed a storage device solution to improve IO performance,Rejected,[I/O?]
7425443,Effective I/O Processing with Exception-Less System Calls for Low-Latency Devices,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[approach Effective I/O Processing]-[Storage Systems[O.S.(xv6)][ssee[QEMU]]-[HDD&Nand flash]
[polling]-[N]-[specific]"
kunkel_multi-versioning_2016,Multi-versioning {Performance} {Opportunities} in {BGAS} {System} for {Resilience},S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[checkpointing system]-[HPC[Applications(GVR)][rsee(4n)]]-[NAND flash&SDRAM]
[checkpointing]-[N]-[IOR]"
8252749,G-CRS: GPU Accelerated Cauchy Reed-Solomon Coding,The papaer do not proposed a storage device solution to improve IO performance,Rejected,[device?]
6546035,Exploring Manycore Multinode Systems for Irregular Applications with FPGA Prototyping,the paper is not acessible,Rejected,
5600311,Integration Experiences and Performance Studies of A COTS Parallel Archive System,The papaer do not proposed a storage device solution to improve IO performance,Rejected,[device?]
Zhang:2011:MVI:2035562.2035616,Multi-core vs. I/O Wall: The Approaches to Conquer and Cooperate,The papaer do not proposed a storage device solution to improve IO performance,Rejected,[storage?]
Wickberg:2012:RSA:2318916.2318922,The RAMDISK Storage Accelerator: A Method of Accelerating I/O Performance on HPC Systems Using RAMDISKs,ARCHITECTURE,Accepted,"[RAMDISK storage accelerator]-[(HPC)][rsee(4c_32n)]]-[DRAM]
[Storage Architecture]-[N]-[specific]"
Monti:2013:TSH:2516405.2516437,On Timely Staging of HPC Job Input Data,The papaer do not proposed a storage device solution to improve IO performance,Rejected,[I/O?]
XuechenZhang:2011:YPI:2060107.2060769,YouChoose: A Performance Interface Enabling Convenient and Efficient QoS Support for Consolidated Storage Systems,The papaer do not proposed a storage device solution to improve IO performance,Rejected,[I/O?]
5289146,On optimizing I/O through InfiniBand RDMA for commodity clusters,The papaer do not proposed a storage device solution to improve IO performance,Rejected,[device?]
7062964,7.6 1GB/s 2Tb NAND flash multi-chip package with frequency-boosting interface chip,H2H-IO -Hard-2-improve-IO-on-Hardware,Accepted,"[(F-Chip)]-[NAND Flash]-[NAND Flash]
[hardware concerning]-[Y]-[not found]"
6200555,Using Active NVRAM for Cloud I/O,S2S-IO -Soft-2-improve-IO-on-Software,Accepted,"[(AMF)]-[Applications(Cloud App.)[nf]]-[NVRAM&HDD]
[staging I/O]-[N]-[NAS-NPB&BTIO]"
6267902,NVMalloc: Exposing an Aggregate SSD Store as a Memory Partition in Extreme-Scale Machines,S2S-IO -Soft-2-improve-IO-on-Software,Accepted,"[(NVMalloc)]-[Applications(Non-spec-App)[nf]]-[SSD&DRAM]
[Memory management]-[N]-[specific]"
20194307563632,Interference-Aware I/O scheduling for data-intensive applications on hierarchical HPC storage systems,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[(IAS)]-[HPC[nf(not found)][rsee(16n)]]-[SSD&RAM]
[I/O Scheduling]-[N]-[specific&Weather&Research&Forecasting]"
yoon_design_2018,Design of {DRAM}-{NAND} flash hybrid main memory and {Q}-learning-based prefetching method,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[Q-learning-based prefetching algorithm]-[Cloud[Storage Systems(Storage System)][ssee(built simulator)]]-[DRAM&flash&cache]
[prefetching]-[Y]-[YCSB(YCSB)&COSBench&ApacheStorm&Specific&Redis]"
Shi:2013:CVM:2490394.2490404,Cooperating Virtual Memory and Write Buffer Management for Flash-based Storage Systems,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[(APCLRU)]-[Storage Systems[storage systems(storage system)][ssee(not found)]]-[Flash]
[write buffer management]-[N]-[specific]"
Bao20191245,A Write-Efficient Cache Algorithm based on Macroscopic Trend for NVM-based Read Cache,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[(MT)]-[Storage Systems[Storage Systems(storage system][rsee(1s)]]-[Cache&SSD&RAM]
[caching]-[Y]-[MSR(usr&proj&prn&hm&rsrch&prxy&src&stg&ts&web&mds&wdev)]"
7208295,Improving performance by bridging the semantic gap between multi-queue SSD and I/O virtualization framework,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[(vCPU)]-[cloud[Applications(Virtio)][rsee(1s_1v_1sd)]-[SSD]
[lock contentions&parallelism issue]-[N]-[FIO]"
8665804,DRAGON: Breaking GPU Memory Capacity Limits with Direct NVM Access,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[(DRAGON)]-[GPU[general-hardware(GPU)][rd(MicronSSD)]]-[SSD]
[memory concerning]-[N]-[BlackScholes&vectorAdd&backprop&binomialOptions&hotspot&lavaMD&pathfinder&srad_v2]"
Li2016,Gasa: A new page replacement algorithm for NAND flash memory,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[(GASA)]-[Flash memory[simulator(FlashSim)][sd(FlashSim)]]-[flash]
[caching]-[N]-[SPC]"
7783712,Bridging the I/O performance gap for big data workloads: A new NVDIMM-based approach,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[scheduling scheme in memory controller]-[DRAM[simulator(DRASMSim2)][sd(DRASMSim2_NANDFlashSim)]]-[DRAM&Nand flash]
[scheduling&garbageCollection&]-[N]-[Hibench&SPECCPU2006]"
8715070,CARS: A Multi-layer Conflict-Aware Request Scheduler for NVMe SSDs,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[(CARS)]-[SSD[SSD-Component(SSD)][sd(MQSim)]]-[SSD]
[Scheduling]-[N]-[specific]"
8258546,1A study on big data I/O performance with modern storage systems,H2SS-IO -Hardw-2-improve-IO-on-Storage-Systems,Accepted,"[M.2]-[Storage Systems[Storage System][rsee(1pc)]]-[SSD&HDD&M.2]
[M.2 SSD]-[N]-[TeraSort]"
5277999,CCF-LRU: a new buffer replacement algorithm for flash memory,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[(CCF-LRU)]-[flash memory[simulator(Flash-DBSim)][sd(Flash-DBSim)]]-[SSD]
[caching]-[N]-[specific]"
Chakraborttii:2018:SQI:3267809.3275453,SSD QoS Improvements Through Machine Learning,the paper is not acessible,Rejected,
kim_file_2011,A {File} {Assignment} {Strategy} for {Parallel} {I}/{O} {System} with {Minimum} {I}/{O} {Contention} {Probability},S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[(MinCP)]-[Storage Systems[general-hardware(HDD)][ssee(built simulator)]]-[HDD]
[data management]-[N]-[specific]"
renz_sass:_2015,{SASS}: {A} {High}-{Performance} {Key}-{Value} {Store} {Design} for {Massive} {Hybrid} {Storage},ARCHITECTURE,Accepted,"[(SASS)]-[(Storage System)[rsee(1s)]]-[HDD&SSD&RAM&Cache]
[caching]-[N]-[specific]"
Liu201095,A semantic-aware cache prefetching mechanism for disk array,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[A semantic-aware cache prefetching mechanism]-[Storage Systems-RAID[nf(not found)][ssee(not found)]]-[HDD]
[caching&prefetching]-[N]-[specific]"
Pletka2016,Health-binning: Maximizing the performance and the endurance of consumer-level NAND flash,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[(Health Binning)]-[Storage systems[nf(not found)][rsee(fc)]]-[Flash]
[endurance&wearleveling]-[N]-[specific]"
ZHANG20181,Efficient flash-aware page-mapping cache management for on-board remote sensing image processing,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[page-mapping cache management approach]-[Flash memory[simulator(FlashSim)][sd(FlashSim)]-[RAM&Flash&cache]
[caching]-[N]-[RP(ReSample+PostMark)&GNP(Gamma+NDVI+PostMark)&SF(Superpixel+Feature)&CCF(Cut+Correction+Fusion)]"
LI2013187,Improving disk I/O performance in a virtualized system,S2S-IO -Soft-2-improve-IO-on-Software,Accepted,"[(PageCamp)]-[Virtual Machine(Xen)[Xen]]-[HDD]
[virtualization]-[N]-[IOzone&IOmeter&Linux(Build-Time)&DBench&Lmbench3&Bonnie++&http_load&http_load]"
FEVGAS201918,LB-Grid: An SSD efficient Grid File,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[(LB-Grid)]-[SSD[Applications(GFFM)][rd(IntelSSD_SamsungSSD_SamsungSSD)]]-[SSD]
[tree]-[N]-[specific]"
JIN20132222,Flubber: Two-level disk scheduling in virtualized environment,S2S-IO -Soft-2-improve-IO-on-Software,Accepted,"[(Flubber)]-[Virtual Machine(Xen)[Xen]]-[HDD]
[virtualization]-[N]-[sysbench&blktrace]"
VISHWANATH2009184,"Accelerating tropical cyclone analysis using LambdaRAM, a distributed data cache over wide-area ultra-fast networks",The papaer do not proposed a storage device solution to improve IO performance,Rejected,[I/O?]
HU2018154,ClimateSpark: An in-memory distributed computing framework for big climate data analytics,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[(ClimateSpark)]-[Storage Systems[Framework(Spark)][rsee(20n)]]-[Memory]
[memory concerning]-[N]-[specific]"
BORBA20171,Stochastic modeling for performance and availability evaluation of hybrid storage systems,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[approach based on stochastic models]-[Storage Systems[Applications(OpenStack)][ssee(DiskSim)]]-[HDD&SSD]
[performance&availability]-[N]-[specific]"
